"","minuteCount","pickupCount","Date","DOW"
"290",120,71,2017-09-01,"Friday"
"291",265,64,2017-08-31,"Thursday"
"292",26,15,2017-08-30,"Wednesday"
"293",51,37,2017-08-29,"Tuesday"
"294",42,21,2017-08-28,"Monday"
"295",106,62,2017-08-27,"Sunday"
"296",159,50,2017-08-26,"Saturday"
"297",132,64,2017-08-25,"Friday"
"298",171,40,2017-08-24,"Thursday"
"299",131,53,2017-08-23,"Wednesday"
"300",125,49,2017-08-22,"Tuesday"
"301",191,42,2017-08-21,"Monday"
"302",191,64,2017-08-20,"Sunday"
"303",230,36,2017-08-19,"Saturday"
"304",129,54,2017-08-18,"Friday"
"305",193,69,2017-08-17,"Thursday"
"306",109,50,2017-08-16,"Wednesday"
"307",67,39,2017-08-15,"Tuesday"
"308",165,62,2017-08-14,"Monday"
"309",140,37,2017-08-13,"Sunday"
"310",183,57,2017-08-12,"Saturday"
"311",159,32,2017-08-11,"Friday"
"312",151,68,2017-08-10,"Thursday"
"313",96,49,2017-08-09,"Wednesday"
"314",185,53,2017-08-08,"Tuesday"
"315",119,62,2017-08-07,"Monday"
"316",251,51,2017-08-06,"Sunday"
"317",148,62,2017-08-05,"Saturday"
"318",210,72,2017-08-04,"Friday"
"319",161,61,2017-08-03,"Thursday"
"320",124,53,2017-08-02,"Wednesday"
"321",98,49,2017-08-01,"Tuesday"
"322",41,6,2017-07-31,"Monday"
